created_at,pm25_ugm3,pm10_ugm3,co_ugm3,no2_ugm3,o3_ugm3,temperature,humidity,id_analog,o3_analog,pm25_analog,pm10_analog,no2_analog,co_analog,pm2_5_ispu,pm10_ispu,co_ispu,no2_ispu,o3_ispu,predicted_category,actual_category,segmen,lokasi
2026-06-10 09:27:12.527991+00:00,10.31,12.82,1633.2,0,19.63,36.5,46.3,166.0,0.0,147.0,136.0,4095.0,2639.0,50.78,15.84,19.28,0.0,8.18,Baik,Sedang,4,Margomulyo
2026-06-10 09:23:08.295329+00:00,13.13,13.75,1744.03,0,19.63,36.2,46.9,162.0,0.0,124.0,123.0,4095.0,2589.0,38.93,12.82,18.12,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 09:10:53.478943+00:00,12.42,12.82,1712.67,0,19.63,36.1,47.1,150.0,0.0,134.0,137.0,4095.0,2657.0,44.62,16.07,19.73,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 09:38:26.425157+00:00,11.54,12.36,1558.34,0,19.63,36.5,46.3,177.0,0.0,118.0,123.0,4095.0,2594.0,35.52,12.82,18.23,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 08:57:38.753934+00:00,12.07,13.29,1562.27,0,19.63,35.5,48.8,137.0,0.0,144.0,141.0,4095.0,2753.0,50.12,17.0,22.32,0.0,8.18,Baik,Sedang,4,Margomulyo
2026-06-10 09:09:52.506615+00:00,13.83,16.07,1578.14,0,19.63,36.0,48.5,149.0,0.0,136.0,131.0,4095.0,2736.0,45.75,14.68,21.83,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 09:05:47.483441+00:00,15.06,14.91,1500.76,0,19.63,36.0,47.8,145.0,0.0,129.0,135.0,4095.0,2709.0,41.77,15.61,21.08,0.0,8.18,Sedang,Baik,4,Margomulyo
2026-06-10 09:48:38.131718+00:00,11.01,12.36,1502.64,0,19.63,35.3,49.7,187.0,0.0,119.0,120.0,4095.0,2627.0,36.09,12.12,19.0,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 09:07:49.528622+00:00,12.42,14.68,1799.51,0,19.63,36.0,48.8,147.0,0.0,126.0,126.0,4095.0,2765.0,40.07,13.52,22.67,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 08:54:35.340625+00:00,14.36,17.23,1675.56,0,19.63,35.3,49.4,134.0,0.0,134.0,129.0,4095.0,2703.0,44.62,14.21,20.92,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 09:30:16.149679+00:00,13.48,12.36,1631.12,0,19.63,36.7,45.4,169.0,0.0,115.0,125.0,4095.0,2686.0,33.81,13.29,20.47,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 09:01:43.263576+00:00,13.65,12.82,1757.69,0,19.63,35.8,48.6,141.0,0.0,145.0,135.0,4095.0,2655.0,50.34,15.61,19.68,0.0,8.18,Baik,Sedang,4,Margomulyo
2026-06-10 09:15:59.519227+00:00,10.83,13.29,1797.15,0,19.63,36.1,47.1,155.0,0.0,124.0,120.0,4095.0,2716.0,38.93,12.12,21.27,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 09:39:27.450475+00:00,11.54,8.17,1396.69,0,19.63,36.4,46.8,178.0,0.0,121.0,121.0,4095.0,2647.0,37.23,12.36,19.48,0.0,8.18,Baik,Baik,4,Margomulyo
2026-06-10 01:09:58.537479+00:00,35.33,36.52,1508.28,0,19.63,31.4,69.3,6.0,0.0,204.0,250.0,4095.0,2611.0,63.37,42.32,18.62,0.0,8.18,Tidak Sehat,Sedang,2,Ngagel
2026-06-10 01:41:35.420555+00:00,25.82,34.19,1260.99,0,19.63,35.0,54.8,37.0,0.0,228.0,206.0,4095.0,2443.0,68.67,32.1,15.17,0.0,8.18,Sedang,Sedang,2,Ngagel
2026-06-10 01:16:06.502611+00:00,25.11,29.55,1268.61,0,19.63,33.1,62.9,12.0,0.0,197.0,201.0,4095.0,2496.0,61.82,30.94,16.17,0.0,8.18,Sedang,Sedang,2,Ngagel
